Name,Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Francisco Lindor","NYM",689,494,90.88889418191057,112.725,17.046331142022357,66,0.13360324,234,0.47368421,0.273462783,0.283,0.5,0.528,0.36288581496572286,0.379,"Francisco Lindor",12916,596019
"Sam Huff","TEX",4,1,72.16584014892578,72.1658,26.62158966064453,0,0,0,0,0,0.292,0,0.323,0.17228268086910248,0.379,"Sam Huff",22209,669087
"Kerry Carpenter","DET",296,195,90.43498883928571,109.564,17.67892665963955,33,0.16923077,88,0.45128205,0.284090909,0.265,0.587121212,0.555,0.3904375917699239,0.379,"Kerry Carpenter",25961,681481
"Joc Pederson","ARI",449,271,92.16299579326923,114.139,16.997977388822115,34,0.12546125,123,0.45387454,0.275204359,0.264,0.514986376,0.48,0.3910353168878966,0.378,"Joc Pederson",11899,592626
"Nick Yorke","PIT",42,26,89.68485201322116,108.901,7.958584712101863,4,0.15384615,13,0.5,0.216216216,0.284,0.378378378,0.509,0.2891906982376462,0.377,"Nick Yorke",27504,694377
"Gunnar Henderson","BAL",719,475,92.80470398206751,113.101,9.214616570723685,53,0.11157895,256,0.53894737,0.28095238,0.283,0.528571428,0.492,0.38146476194387025,0.374,"Gunnar Henderson",26289,683002
"Christian Yelich","MIL",315,215,91.09320126488095,113.239,5.212527306723934,17,0.07906977,100,0.46511628,0.314814814,0.294,0.503703703,0.471,0.39138049156435073,0.373,"Christian Yelich",11477,592885
"Jackson Merrill","SDP",593,462,90.3659737417943,111.567,14.615308097989606,52,0.11255411,203,0.43939394,0.292418772,0.303,0.5,0.534,0.351507786788097,0.372,"Jackson Merrill",29490,701538
"Freddie Freeman","LAD",638,450,89.41004340277777,112.337,14.343694661458333,41,0.09111111,187,0.41555556,0.282287822,0.278,0.47601476,0.466,0.36535710949207906,0.367,"Freddie Freeman",5361,518692
"Iván Herrera","STL",259,179,89.32306011652543,112.377,9.154165149408545,16,0.08938547,75,0.41899441,0.301310043,0.293,0.427947598,0.453,0.35088068015815677,0.366,"Ivan Herrera",20599,671056
"Willson Contreras","STL",358,205,91.56071836890244,115.343,14.224598656631098,23,0.11219512,96,0.46829268,0.262458471,0.258,0.468438538,0.455,0.37018280752589194,0.365,"Willson Contreras",11609,575929
"Jurickson Profar","SDP",668,473,91.07275390625,110.265,13.441363104458514,34,0.07188161,209,0.44186047,0.280141843,0.282,0.459219858,0.444,0.365296050431334,0.364,"Jurickson Profar",10815,595777
"Rafael Devers","BOS",601,384,93.18635471204189,114.689,11.59976531822644,50,0.13020833,201,0.5234375,0.272380952,0.272,0.516190476,0.509,0.36402783280133794,0.364,"Rafael Devers",17350,646240
"Jonathan Aranda","TBR",143,97,91.86706668814433,110.382,11.049023185808634,16,0.16494845,45,0.46391753,0.234375,0.257,0.4296875,0.518,0.32012464575000577,0.362,"Jonathan Aranda",21837,666018
"Austin Riley","ATL",469,309,93.33246386400651,114.703,15.88043471345684,46,0.14886731,165,0.53398058,0.256470588,0.267,0.46117647,0.505,0.33795924811983413,0.361,"Austin Riley",18360,663586
